entry_id,beacon_id,in_time,out_time,rpi_id
33488,92,2016-09-22 12:42:25,2016-09-22 12:42:54,rpi-06
33489,92,2016-09-22 12:42:34,2016-09-22 12:43:14,rpi-07
33490,92,2016-09-22 12:41:59,2016-09-22 12:43:14,rpi-05
33491,92,2016-09-22 12:43:09,2016-09-22 12:43:15,rpi-15
33492,92,2016-09-22 12:43:09,2016-09-22 12:43:15,rpi-16
33493,92,2016-09-22 12:43:15,2016-09-22 12:43:15,rpi-06
33494,92,2016-09-22 12:42:36,2016-09-22 12:43:27,rpi-09
33495,93,2016-09-22 12:45:32,2016-09-22 12:52:22,rpi-03
33496,93,2016-09-22 12:53:20,2016-09-22 12:53:20,rpi-03
33497,93,2016-09-22 12:54:04,2016-09-22 12:54:26,rpi-03
33498,93,2016-09-22 12:55:07,2016-09-22 12:55:07,rpi-03
33499,32,2016-09-22 12:55:12,2016-09-22 12:55:23,rpi-27
33500,32,2016-09-22 12:55:15,2016-09-22 12:55:17,rpi-26
33501,32,2016-09-22 12:55:18,2016-09-22 12:55:18,rpi-24
33502,32,2016-09-22 12:55:08,2016-09-22 12:55:27,rpi-23
33503,32,2016-09-22 12:54:46,2016-09-22 12:55:33,rpi-22
33504,32,2016-09-22 12:55:29,2016-09-22 12:55:32,rpi-16
33505,32,2016-09-22 12:55:16,2016-09-22 12:55:52,rpi-14
33506,32,2016-09-22 12:55:18,2016-09-22 12:55:58,rpi-15
33507,32,2016-09-22 12:55:57,2016-09-22 12:56:04,rpi-16
33508,32,2016-09-22 12:55:57,2016-09-22 12:56:10,rpi-07
33509,32,2016-09-22 12:56:00,2016-09-22 12:56:10,rpi-09
33510,32,2016-09-22 12:56:10,2016-09-22 12:56:10,rpi-06
33511,32,2016-09-22 12:55:59,2016-09-22 12:56:10,rpi-05
33512,93,2016-09-22 12:55:59,2016-09-22 12:57:15,rpi-03
33513,93,2016-09-22 12:14:39,2016-09-22 12:57:29,rpi-05
33514,92,2016-09-22 12:42:36,2016-09-22 12:57:41,rpi-12
33515,92,2016-09-22 12:42:34,2016-09-22 12:57:51,rpi-10
33516,92,2016-09-22 12:42:33,2016-09-22 12:57:57,rpi-11
33517,93,2016-09-22 12:57:54,2016-09-22 12:58:09,rpi-03
33518,32,2016-09-22 12:58:00,2016-09-22 12:58:09,rpi-15
33519,32,2016-09-22 12:57:52,2016-09-22 12:58:08,rpi-07
33520,32,2016-09-22 12:58:05,2016-09-22 12:58:05,rpi-16
33521,32,2016-09-22 12:58:01,2016-09-22 12:58:08,rpi-06
33522,32,2016-09-22 12:57:59,2016-09-22 12:58:10,rpi-05
33523,32,2016-09-22 12:58:17,2016-09-22 12:58:20,rpi-14
33524,32,2016-09-22 12:57:51,2016-09-22 12:58:17,rpi-09
33525,93,2016-09-22 12:58:54,2016-09-22 12:58:54,rpi-03
33526,92,2016-09-22 13:00:21,2016-09-22 13:00:21,rpi-10
33527,93,2016-09-22 13:00:59,2016-09-22 13:01:01,rpi-03
33528,92,2016-09-22 13:00:06,2016-09-22 13:01:41,rpi-11
33529,93,2016-09-22 13:01:37,2016-09-22 13:02:01,rpi-03
33530,32,2016-09-22 13:00:01,2016-09-22 13:02:57,rpi-12
33531,93,2016-09-22 13:02:35,2016-09-22 13:04:04,rpi-03
33532,92,2016-09-22 13:04:48,2016-09-22 13:04:48,rpi-12
33533,32,2016-09-22 13:03:23,2016-09-22 13:04:58,rpi-12
33534,93,2016-09-22 13:04:47,2016-09-22 13:05:00,rpi-03
33535,93,2016-09-22 12:59:06,2016-09-22 13:06:27,rpi-05
33536,93,2016-09-22 13:05:23,2016-09-22 13:06:44,rpi-03
33537,93,2016-09-22 13:07:26,2016-09-22 13:07:26,rpi-03
33538,93,2016-09-22 13:07:07,2016-09-22 13:07:55,rpi-05
33539,32,2016-09-22 13:06:05,2016-09-22 13:08:19,rpi-12
33540,93,2016-09-22 13:08:13,2016-09-22 13:08:42,rpi-03
33541,32,2016-09-22 13:08:52,2016-09-22 13:09:16,rpi-12
33542,92,2016-09-22 13:00:48,2016-09-22 13:09:56,rpi-10
33543,32,2016-09-22 13:09:47,2016-09-22 13:09:55,rpi-12
33544,92,2016-09-22 13:02:03,2016-09-22 13:10:30,rpi-11
33545,93,2016-09-22 13:09:43,2016-09-22 13:10:59,rpi-03
33546,92,2016-09-22 13:11:03,2016-09-22 13:11:03,rpi-11
33547,93,2016-09-22 13:11:26,2016-09-22 13:11:42,rpi-03
33548,32,2016-09-22 13:10:32,2016-09-22 13:11:51,rpi-12
33549,92,2016-09-22 13:10:34,2016-09-22 13:12:15,rpi-10
33550,92,2016-09-22 13:12:52,2016-09-22 13:13:10,rpi-11
33551,93,2016-09-22 13:12:14,2016-09-22 13:14:51,rpi-03
33552,93,2016-09-22 13:15:32,2016-09-22 13:15:38,rpi-03
33553,92,2016-09-22 13:14:53,2016-09-22 13:15:56,rpi-11
33554,93,2016-09-22 13:16:02,2016-09-22 13:16:02,rpi-06
33555,32,2016-09-22 12:59:27,2016-09-22 13:16:10,rpi-11
33556,93,2016-09-22 13:16:26,2016-09-22 13:16:39,rpi-03
33557,92,2016-09-22 13:12:51,2016-09-22 13:16:52,rpi-10
33558,93,2016-09-22 13:17:15,2016-09-22 13:17:37,rpi-03
